country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Maharashtra,Mumbai,"Chakala-Andheri East, Mumbai - IITM",09-08-2026 14:00:00,19.11074,72.86084,OZONE,10,14,12
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",09-08-2026 14:00:00,18.9767,72.838,PM10,31,50,40
India,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",09-08-2026 14:00:00,19.1653323,72.922099,OZONE,21,31,26
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB",09-08-2026 14:00:00,19.1878657,72.8304069,PM2.5,13,18,15
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM",09-08-2026 14:00:00,19.23241,72.86895,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",09-08-2026 14:00:00,18.9936162,72.8128113,PM2.5,22,53,39
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",09-08-2026 14:00:00,18.9936162,72.8128113,OZONE,8,9,9
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB",09-08-2026 14:00:00,14.816666,74.141003,CO,26,50,32
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",09-08-2026 14:00:00,12.415911,75.73505,NH3,1,1,1
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",09-08-2026 14:00:00,12.415911,75.73505,SO2,6,7,7
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",09-08-2026 14:00:00,12.88925,74.853,OZONE,37,37,37
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",09-08-2026 14:00:00,12.21041,76.37376,CO,4,20,12
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",09-08-2026 14:00:00,12.21041,76.37376,OZONE,8,32,19
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",09-08-2026 14:00:00,16.7602,77.1428,NO2,NA,NA,NA
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",09-08-2026 14:00:00,10.073232,76.302765,NO2,NA,NA,NA
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",09-08-2026 14:00:00,11.875,75.3732,CO,10,11,10
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",09-08-2026 14:00:00,8.5637,76.8865,NH3,0,0,0
India,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",09-08-2026 14:00:00,22.7289,75.8076,OZONE,4,5,5
India,Madhya Pradesh,Indore,"Maguda Nagar, Indore - IMC",09-08-2026 14:00:00,22.7524,75.8872,PM2.5,24,44,34
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore - MPPCB",09-08-2026 14:00:00,22.431,75.5213,CO,13,25,18
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",09-08-2026 14:00:00,22.7084,75.8815,PM2.5,31,58,42
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",09-08-2026 14:00:00,22.7084,75.8815,PM10,43,76,55
India,Madhya Pradesh,Indore,"Residency Area, Indore - IMC",09-08-2026 14:00:00,22.7084,75.8815,NH3,0,0,0
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur - MPPCB",09-08-2026 14:00:00,23.168606,79.932247,NO2,49,56,52
India,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",09-08-2026 14:00:00,23.218135,79.95777,OZONE,24,33,28
India,Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",09-08-2026 14:00:00,23.163174,79.973061,PM2.5,3,48,23
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur - JMC",09-08-2026 14:00:00,23.142888,79.916147,SO2,11,16,13
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",09-08-2026 14:00:00,15.3714823,75.1160168,NO2,11,11,11
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",09-08-2026 14:00:00,15.3714823,75.1160168,OZONE,24,24,24
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB",09-08-2026 14:00:00,14.816666,74.141003,PM2.5,35,81,51
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB",09-08-2026 14:00:00,14.816666,74.141003,CO,26,50,32
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",09-08-2026 14:00:00,12.415911,75.73505,NH3,1,1,1
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",09-08-2026 14:00:00,12.415911,75.73505,SO2,6,7,7
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB",09-08-2026 14:00:00,12.88925,74.853,OZONE,37,37,37
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",09-08-2026 14:00:00,12.21041,76.37376,CO,4,20,12
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",09-08-2026 14:00:00,12.21041,76.37376,OZONE,8,32,19
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",09-08-2026 14:00:00,16.7602,77.1428,NO2,NA,NA,NA
India,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB",09-08-2026 14:00:00,25.5803419,91.8942571,PM2.5,NA,NA,NA
India,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB",09-08-2026 14:00:00,25.5803419,91.8942571,SO2,26,30,29
India,Meghalaya,Shillong,"JN Stadium, Shillong - Meghalaya PCB",09-08-2026 14:00:00,25.5803419,91.8942571,CO,13,22,18
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",09-08-2026 14:00:00,23.7176342,92.7192841,PM2.5,NA,NA,NA
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB",09-08-2026 14:00:00,23.7176342,92.7192841,OZONE,0,0,0
India,Nagaland,Kohima,"PWD Junction, Kohima - NPCB",09-08-2026 14:00:00,25.6635413,94.0989878,SO2,46,60,52
India,Nagaland,Kohima,"PWD Junction, Kohima - NPCB",09-08-2026 14:00:00,25.6635413,94.0989878,OZONE,NA,NA,NA
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",09-08-2026 14:00:00,21.51161,86.89088,PM2.5,3,30,19
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB",09-08-2026 14:00:00,21.51161,86.89088,OZONE,24,41,34
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB",09-08-2026 14:00:00,22.1166054,85.3945546,CO,9,13,11
